@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3}

@data
264,'2023/11/28 01:47:03:735',12,0.002887,0.005399,0.00642,?
265,'2023/11/28 01:47:03:772',12,0.00728,0.001434,-0.004967,?
266,'2023/11/28 01:47:03:812',12,0.006374,-0.002693,0.007203,?
267,'2023/11/28 01:47:03:835',12,0.011253,0.007886,0.000487,?
268,'2023/11/28 01:47:03:872',12,0.009774,0.008009,0.001145,?
269,'2023/11/28 01:47:03:904',12,-0.004569,0.006334,0.008419,?
270,'2023/11/28 01:47:03:955',12,-0.005027,-0.004642,0.002169,?
271,'2023/11/28 01:47:03:974',12,-0.011724,-0.000088,0.008816,?
272,'2023/11/28 01:47:04:010',12,-0.008623,-0.002672,0.005974,?
273,'2023/11/28 01:47:04:039',12,-0.006672,0.005435,0.011873,?
274,'2023/11/28 01:47:04:075',12,-0.000382,0.006515,0.00527,?
275,'2023/11/28 01:47:04:115',12,0.000313,0.005834,0.000464,?
276,'2023/11/28 01:47:04:136',12,0.004577,0.008304,0.002416,?
277,'2023/11/28 01:47:04:178',12,0.007318,0.003368,0.00472,?
278,'2023/11/28 01:47:04:203',12,0.001413,-0.002439,0.001373,?
279,'2023/11/28 01:47:04:235',12,0.002381,-0.009289,0.000687,?
280,'2023/11/28 01:47:34:236',13,-0.001703,-0.010307,0.004366,?
281,'2023/11/28 01:47:34:270',13,-0.003902,-0.009352,0.003072,?
282,'2023/11/28 01:47:34:302',13,-0.000799,-0.003593,0.001804,?
283,'2023/11/28 01:47:34:334',13,-0.00379,-0.004405,0.001625,?
284,'2023/11/28 01:47:34:368',13,-0.000811,-0.008644,-0.001628,?
285,'2023/11/28 01:47:34:404',13,-0.001198,-0.008727,-0.000479,?
286,'2023/11/28 01:47:34:437',13,0.001046,-0.005002,-0.002328,?
287,'2023/11/28 01:47:34:469',13,0.000739,-0.004643,-0.004258,?
288,'2023/11/28 01:47:34:511',13,0.002012,-0.005895,-0.002501,?
289,'2023/11/28 01:47:34:535',13,0.002816,-0.006294,-0.000753,?
290,'2023/11/28 01:47:34:567',13,-0.000587,-0.003091,0.001071,?
291,'2023/11/28 01:47:34:602',13,-0.000844,-0.000097,0.001391,?
292,'2023/11/28 01:47:34:638',13,0.001444,-0.003861,0.001891,?
293,'2023/11/28 01:47:34:675',13,0.003377,-0.000622,-0.000456,?
294,'2023/11/28 01:47:34:701',13,0.005094,-0.00806,0.003482,?
295,'2023/11/28 01:47:34:742',13,0.002285,-0.004376,0.003169,?
296,'2023/11/28 01:47:34:769',13,0.003746,-0.004807,-0.000213,?
297,'2023/11/28 01:47:34:806',13,-0.003486,0.000603,-0.004159,?
298,'2023/11/28 01:47:34:841',13,-0.000138,-0.00377,-0.00753,?
299,'2023/11/28 01:47:34:868',13,-0.00091,-0.004242,-0.004758,?
300,'2023/11/28 01:47:34:901',13,0.002944,-0.002369,-0.00932,?
301,'2023/11/28 01:47:34:945',13,0.00261,-0.005056,-0.004436,?
302,'2023/11/28 01:47:34:968',13,-0.004888,-0.010367,0.002306,?
303,'2023/11/28 01:47:35:026',13,-0.004755,-0.010039,0.00718,?
304,'2023/11/28 01:47:36:155',14,0.002823,-0.00375,-0.002909,?
305,'2023/11/28 01:47:36:175',14,0.00727,-0.0071,-0.004325,?
306,'2023/11/28 01:47:36:210',14,0.000949,-0.013081,0.007348,?
307,'2023/11/28 01:47:36:237',14,-0.004295,-0.009271,0.005949,?
308,'2023/11/28 01:47:36:267',14,-0.003649,-0.012723,0.008432,?
309,'2023/11/28 01:47:36:302',14,-0.007479,-0.008276,0.007175,?
310,'2023/11/28 01:47:36:334',14,-0.006091,0.003297,0.006354,?
311,'2023/11/28 01:47:36:367',14,-0.000492,-0.006229,-0.000008,?
312,'2023/11/28 01:47:36:411',14,0.003929,0.000687,-0.004639,?
313,'2023/11/28 01:47:36:437',14,0.002051,0.007991,-0.006468,?
314,'2023/11/28 01:47:36:468',14,0.004912,-0.003149,-0.007529,?
315,'2023/11/28 01:47:36:502',14,0.007832,-0.006475,-0.005253,?
316,'2023/11/28 01:47:36:534',14,0.00189,-0.00281,-0.005262,?
317,'2023/11/28 01:47:36:568',14,-0.007437,0.00046,-0.009914,?
318,'2023/11/28 01:47:36:601',14,-0.004674,0.007068,-0.014261,?
319,'2023/11/28 01:47:36:636',14,-0.000523,0.005936,-0.012104,?
320,'2023/11/28 01:47:36:670',14,0.004285,-0.001449,-0.008968,?
321,'2023/11/28 01:47:36:710',14,-0.002476,-0.00717,0.004416,?
322,'2023/11/28 01:47:36:734',14,-0.001232,-0.010938,0.004915,?
323,'2023/11/28 01:47:36:769',14,-0.001336,-0.011451,0.002083,?
324,'2023/11/28 01:47:36:801',14,-0.002357,-0.0092,0.000445,?
325,'2023/11/28 01:47:36:841',14,-0.001952,-0.001879,-0.00275,?
326,'2023/11/28 01:47:36:868',14,-0.00178,0.003036,-0.001774,?
327,'2023/11/28 01:47:36:901',14,0.000903,0.000984,-0.003035,?
328,'2023/11/28 01:47:36:934',14,-0.004024,-0.001056,-0.001323,?
329,'2023/11/28 01:47:36:968',14,-0.002166,0.001164,0.000358,?
330,'2023/11/28 01:47:37:010',14,-0.000317,-0.000918,-0.00546,?
331,'2023/11/28 01:47:37:048',14,0.000041,-0.005234,-0.00169,?
332,'2023/11/28 01:47:37:067',14,-0.001223,0.000315,-0.007128,?
333,'2023/11/28 01:47:37:101',14,-0.000373,-0.017026,-0.001617,?
334,'2023/11/28 01:47:37:135',14,-0.006565,-0.012158,0.001447,?
335,'2023/11/28 01:47:39:168',15,-0.011352,-0.00815,0.002159,?
336,'2023/11/28 01:47:39:201',15,-0.001971,-0.009433,0.003421,?
337,'2023/11/28 01:47:39:234',15,0.002166,-0.006323,0.002832,?
338,'2023/11/28 01:47:39:267',15,0.000708,0.004466,-0.002081,?
339,'2023/11/28 01:47:39:301',15,0.00259,0.002355,-0.001814,?
340,'2023/11/28 01:47:39:335',15,-0.005451,0.008472,0.000779,?
341,'2023/11/28 01:47:39:370',15,-0.000498,0.005233,-0.003219,?
342,'2023/11/28 01:47:39:407',15,0.008243,0.0035,-0.007133,?
343,'2023/11/28 01:47:39:435',15,0.000029,0.003789,-0.000997,?
344,'2023/11/28 01:47:39:467',15,-0.001219,-0.001332,0.001754,?
345,'2023/11/28 01:47:39:501',15,0.000393,-0.002782,-0.003219,?
346,'2023/11/28 01:47:39:534',15,-0.003606,-0.000107,-0.003884,?
347,'2023/11/28 01:47:39:567',15,-0.000949,-0.000496,0.005908,?
348,'2023/11/28 01:47:39:601',15,-0.000231,-0.00203,-0.003232,?
